LINKS,TITLE,CODE,LOCATION,PROPERTY TYPE,TYPE,PRICE,Area of Land,IMAGE URLS,Construction Area,FULL BATHROOM,PRIVACY,HALF BATHROOM
https://remax-central.com.sv/en/properties/land-for-sale-in-excellent-area-of-costa-del-sol-for-development-1,Land for Sale in Excellent Area of ​Costa del Sol for Development,V15-003865,Costa Del Sol,Terrain,Sale,4900000,112000 ,"https://remax-central.com.sv/storage/properties/NwrDcoFBqj7X3uJUihCL-thumb.png, https://remax-central.com.sv/storage/properties/sz4xb6ARwY31DCi1Acqc-thumb.png, https://remax-central.com.sv/storage/properties/0z3IzSmroeEfGOsawWgw-thumb.png, https://remax-central.com.sv/storage/properties/3fzUzcA9yjImb4OTV6GM-thumb.png, https://remax-central.com.sv/storage/properties/667Apbdci107CujS8cS3-thumb.png, https://remax-central.com.sv/storage/properties/oK0jUANyg4wviJHaoATC-thumb.png, https://remax-central.com.sv/storage/properties/DoTjRSrFqRghKXNJsFxR-thumb.png, https://remax-central.com.sv/storage/properties/BSFXgXgXHHGTfMf6pZIQ-thumb.png, https://remax-central.com.sv/storage/properties/1wi1tG8DzuLL7yJQ16A6-thumb.png, https://remax-central.com.sv/storage/properties/24OPim5MfzXDuGYPv5rC-thumb.png",,,,
https://remax-central.com.sv/en/properties/oasis-residence-model-a---3-rooms-barra-de-santiago-el-salvador,"OASIS RESIDENCE ""MODEL A - 3 rooms"" BARRA DE SANTIAGO EL SALVADOR",V20-003725,Barra De Santiago,Recreational,Sale,495703,541.49 ,"https://remax-central.com.sv/storage/properties/tD2qCYUAg6kW06tUvpb1-thumb.png, https://remax-central.com.sv/storage/properties/CuR9i2m9zNZLxaOqBVDp-thumb.png, https://remax-central.com.sv/storage/properties/WuGpZGyZuSbvoF0ezAWt-thumb.png, https://remax-central.com.sv/storage/properties/sevfHQV8RVvfn42Uil2x-thumb.png, https://remax-central.com.sv/storage/properties/RXNwzHMcR9Muq3aUcfS5-thumb.png, https://remax-central.com.sv/storage/properties/7DMu0xzAIdG6ZcHj2CKW-thumb.jpg, https://remax-central.com.sv/storage/properties/XF0oCc1bcjJ5FhUfJMAi-thumb.png, https://remax-central.com.sv/storage/properties/NgaDGqa2yU0OCWBUkCb9-thumb.png",266 ,3,Private,
https://remax-central.com.sv/en/properties/oasis-residence-model-b---4-rooms-barra-de-santiago-el-salvador,"OASIS RESIDENCE ""MODEL B - 4 rooms"" BARRA DE SANTIAGO EL SALVADOR",V20-003726,Barra De Santiago,Recreational,Sale,554128,541.49 ,"https://remax-central.com.sv/storage/properties/CuR9i2m9zNZLxaOqBVDp-thumb.png, https://remax-central.com.sv/storage/properties/FEKPY3wbWk5u2pTAF31C-thumb.png, https://remax-central.com.sv/storage/properties/0R28yAONaAjONcN4jp93-thumb.png, https://remax-central.com.sv/storage/properties/z8Ccd3mRbha4SqwXm21N-thumb.png, https://remax-central.com.sv/storage/properties/T8DuAMS1KYyQnJqzDRlt-thumb.png, https://remax-central.com.sv/storage/properties/D0PgF4qTAm7sxvQUZ8JO-thumb.jpg, https://remax-central.com.sv/storage/properties/NgaDGqa2yU0OCWBUkCb9-thumb.png, https://remax-central.com.sv/storage/properties/tD2qCYUAg6kW06tUvpb1-thumb.png",309 ,4,Private,
https://remax-central.com.sv/en/properties/commercial-premise-be1b-millennium-plaza-1/a,MILLENNIUM TOWER OFFICE SPACE,A07-003178,Colonia Escalón,Commercial,Rent,,,,210 ,,,
https://remax-central.com.sv/en/properties/millennium-tower-office-space/a,MILLENNIUM TOWER OFFICE SPACE,A07-003179,Colonia Escalón,Commercial,Rent,,,"https://remax-central.com.sv/storage/properties/OKL4AbsuAFA4I5w1w3x0-thumb.png, https://remax-central.com.sv/storage/properties/LnBnRT5OXAjFPZ4U9PAu-thumb.png, https://remax-central.com.sv/storage/properties/rZNAwmPaJJnuZ8W9wo4o-thumb.png",120 ,,,
https://remax-central.com.sv/en/properties/alveare-coworking-office-space-level-4/a,OFFICE SPACE ALVEARE OFFICES PLUS LEVEL 21,A07-003182,Colonia Escalón,Commercial,Rent,,,"https://remax-central.com.sv/storage/properties/5HRiQZsFBwPajvWMhVQh-thumb.png, https://remax-central.com.sv/storage/properties/AwPm4aO6w00yjZYcQtAH-thumb.png, https://remax-central.com.sv/storage/properties/PCHVn1ed98BAOlg8bwvW-thumb.png, https://remax-central.com.sv/storage/properties/RvnccdDgjsRmv9KDDzXb-thumb.png",169 ,,,
https://remax-central.com.sv/en/properties/millennium-tower-office-space-4/a,MILLENNIUM TOWER OFFICE SPACE,A07-003185,Colonia Escalón,Commercial,Rent,,,https://remax-central.com.sv/storage/properties/Y8YW73xMQYsH2WS7oeUp-thumb.png,125 ,,,
https://remax-central.com.sv/en/properties/millennium-tower-office-space-5/a,MILLENNIUM TOWER OFFICE SPACE,A07-003186,Colonia Escalón,Commercial,Rent,,,"https://remax-central.com.sv/storage/properties/Yby2QMFyyDsDua96CbLO-thumb.png, https://remax-central.com.sv/storage/properties/PEHVGwRB4Gje6NkRe9em-thumb.png, https://remax-central.com.sv/storage/properties/mwcLK788xuoJ1oCE6X0D-thumb.png",125 ,,,
https://remax-central.com.sv/en/properties/millennium-tower-office-space-3/a,MILLENNIUM TOWER OFFICE SPACE,A07-003184,Colonia Escalón,Commercial,Rent,,,"https://remax-central.com.sv/storage/properties/gNu2kAqkZVgcE8xe4rrC-thumb.png, https://remax-central.com.sv/storage/properties/equp48VlnDuq07K2gpzS-thumb.png, https://remax-central.com.sv/storage/properties/27sztjz1rvFoh7NS0qzw-thumb.png",125 ,,,
https://remax-central.com.sv/en/properties/house-cumbres-de-cuscatlan-el-salvador,"HOUSE CUMBRES DE CUSCATLAN, EL SALVADOR",V01-003211,Cumbres De Cuscatlán,Residential,Sale,598000,965.78 ,"https://remax-central.com.sv/storage/properties/aS6STwH53lUC8BOrbxfV-thumb.png, https://remax-central.com.sv/storage/properties/qULvv5cPaBlxsnqzKZVw-thumb.png, https://remax-central.com.sv/storage/properties/wEsylYYOhu9dJ42iHWiB-thumb.png, https://remax-central.com.sv/storage/properties/fmlcKpr6x4LChheKdqrf-thumb.png, https://remax-central.com.sv/storage/properties/vLt3OjSkwHUGZFeZVkwE-thumb.png, https://remax-central.com.sv/storage/properties/3nXUUmYEhhNC1H6jAEWt-thumb.png, https://remax-central.com.sv/storage/properties/fRWoS8oaOx1MLNI4SMPY-thumb.png, https://remax-central.com.sv/storage/properties/DTWOSEgcJEXBCiSllXue-thumb.png, https://remax-central.com.sv/storage/properties/VJ9xxWn2Ad2cMqWzioid-thumb.png, https://remax-central.com.sv/storage/properties/u87YNkDTzrNp1gaovu38-thumb.png",480 ,4,,½
https://remax-central.com.sv/en/properties/log-cabin-for-sale-in-montepinar-la-palma-chalatenango,"Log Cabin For Sale in Montepinar, La Palma, Chalatenango",V20-003164,La Palma,Recreational,Sale,150000,5732 ,"https://remax-central.com.sv/storage/properties/lFGSkCx8VIHnDCA8dFmx-thumb.JPG, https://remax-central.com.sv/storage/properties/gEdjS5PrwlFyONxWL20N-thumb.JPG, https://remax-central.com.sv/storage/properties/qj1PZ2hfenTdoQEoQbxb-thumb.JPG, https://remax-central.com.sv/storage/properties/ANM4QXH3ShzylZMvXeNV-thumb.JPG, https://remax-central.com.sv/storage/properties/IEAWQLaWjjyfhm4FabJl-thumb.JPG, https://remax-central.com.sv/storage/properties/M2N7F0CLpCCoLCoqRUOJ-thumb.JPG, https://remax-central.com.sv/storage/properties/9fYzTUW35AE2RdGhr5eX-thumb.JPG, https://remax-central.com.sv/storage/properties/5vKV9TWjtJN7Waw63ijg-thumb.JPG, https://remax-central.com.sv/storage/properties/TTGFXsLLH4YCJRxUN5hr-thumb.JPG, https://remax-central.com.sv/storage/properties/FDL52Noduvwftj5rjFZQ-thumb.JPG, https://remax-central.com.sv/storage/properties/CYmT6WOVyyBExpBqw4D2-thumb.JPG",110 ,2,Private,
https://remax-central.com.sv/en/properties/property-for-rent-costa-del-sol/a,PROPERTY FOR RENT COSTA DEL SOL,A20-003167,Costa Del Sol,Recreational,Rent,,5768 ,"https://remax-central.com.sv/storage/properties/XEsVuiDyvb7bGqSzLPdp-thumb.png, https://remax-central.com.sv/storage/properties/tXZuWhZKBPDJC9HoXV4R-thumb.png, https://remax-central.com.sv/storage/properties/HDARLjTnJF0hSi81cWTc-thumb.png, https://remax-central.com.sv/storage/properties/uJKM5huDSQUaJ880mASM-thumb.png, https://remax-central.com.sv/storage/properties/SBAoomnofgxdO59ZNfld-thumb.png, https://remax-central.com.sv/storage/properties/W9rMuAmbU5d9XUOC3k94-thumb.png, https://remax-central.com.sv/storage/properties/JZsGzGOL7QqLFwNbjvip-thumb.png, https://remax-central.com.sv/storage/properties/hbr4VGkCun68ZSc2vrpg-thumb.png, https://remax-central.com.sv/storage/properties/ukK4K1efz8iDiRmbz2KV-thumb.png, https://remax-central.com.sv/storage/properties/1GCxjyzgqn7Ea0bQUgNe-thumb.png, https://remax-central.com.sv/storage/properties/s9AYVXRrB00uwOufcunX-thumb.png, https://remax-central.com.sv/storage/properties/xl7YCnQxUdKQ2a8O47Ic-thumb.png",300 ,2,,
https://remax-central.com.sv/en/properties/farm-for-sale-san-julian,"FARM FOR SALE ""SAN JULIAN""",V20-002323,Sonsonate,Recreational,Sale,1767950,400000 ,"https://remax-central.com.sv/storage/properties/53xTS8I5KnTW4AuBtmo2-thumb.jpg, https://remax-central.com.sv/storage/properties/oUrukRHVyGP8PbFk3Y65-thumb.jpg, https://remax-central.com.sv/storage/properties/lRDXpTGn4suQpRez8ync-thumb.jpg, https://remax-central.com.sv/storage/properties/No8hkdjJWFhGBvZJSgYi-thumb.jpg, https://remax-central.com.sv/storage/properties/LUpzSXLPVs7IGQJNTjwK-thumb.jpg, https://remax-central.com.sv/storage/properties/Vtt9XbmAvagvGuxn1PsY-thumb.jpg, https://remax-central.com.sv/storage/properties/mJgClXOA4b8z5ilaVmKZ-thumb.jpg, https://remax-central.com.sv/storage/properties/bi2SgRKo4Bean6ggrNvv-thumb.jpg, https://remax-central.com.sv/storage/properties/wTCluLzkkN0ksKFCblRo-thumb.jpg",670 ,3,,
